old_serial_numbers,product_name,unit_price,company_profit,unit,product_category,the_cost,retail_price,product_profit,product_description,storage,product_color,various_elements,length,extra_freight,lead_time,raw_material,minimum_order_quantity,supplier,supplier_contact_person,supplier_phone_number,supplier_fax_number,supplier_cell_phone,supplier_address,supplier_email,remark,supplier_bank_information,product_website
A001001,不需要填充物,0,0.6,無,A001,0,0,,,,,,,,,,,,,,,,,,,,
A001002,客戶提供填充物,0,0.6,無,A001,0,0,,,,,,,,,,,,,,,,,,,,
A001005,A級填充棉,0.1125,0.8,公斤,A001,0.09,0,,目前使用,,白色,,,150,約7-14天,100％聚酯纖維,一次最少15公斤，一公斤90元,麗明有限公司,林小姐,02-82921192,02-82921193,,,,,,
A001006,發泡顆粒0.2-0.3mm,0.20875,0.8,公斤,A001,0.167,0,,目前使用,,白色,0.2-0.3mm,,150,約7-14天,EPS-聚苯乙烯,一次最少訂9公斤， 一公斤167元,奇和實業有限公司,陳明宏-先生,02-29667466,02-29682609,0910-165-146,新北市板橋區中正路275巷200弄17之5號,,保利龍類,板信商業銀行中正分行118，戶名:奇和實業有限公司，帳號:0482-1-31000096-9,
A001007,發泡顆粒0.2-0.3mm(一起好),0.334,0.5,公斤,A001,0.167,0,,目前使用,,白色,0.2-0.3mm,,150,約7-14天,EPS-聚苯乙烯,一次最少訂9公斤， 一公斤167元,奇和實業有限公司,陳明宏-先生,02-29667466,02-29682609,0910-165-146,新北市板橋區中正路275巷200弄17之5號,,保利龍類,板信商業銀行中正分行118， 戶名:奇和實業有限公司，帳號:0482-1-31000096-9,
A003001,無拉鍊,0,0.6,無,A003,0,0,,,,,,,,,,,,,,,,,,,,
A003002,客戶提供拉鍊,0,0.6,無,A003,0,0,,,,,,,,,,,,,,,,,,,,
A003003,4吋YKK拉鍊(一般頭，3號齒，多色可選)約10.2公分,4.443333,0.6,條,A003,2.666,4,,,,多色,4吋,約10.2公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003004,5吋YKK拉鍊(一般頭，3號齒，多色可選)約12.7公分,4.721667,0.6,條,A003,2.833,4,,,,多色,5吋,約12.7公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003005,6吋YKK拉鍊(一般頭，3號齒，多色可選)約15.25公分,5,0.6,條,A003,3,4,,,,多色,6吋,,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003006,8吋YKK拉鍊(一般頭，3號齒，多色可選)約20.3公分,5.555,0.6,條,A003,3.333,6,,,,多色,8吋,約20.3公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003007,9吋YKK拉鍊(一般頭，3號齒，多色可選)約22.8公分,6.944333,0.6,條,A003,4.1666,6,,,,多色,9吋,約22.8公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003008,10吋YKK拉鍊(一般頭，3號齒，多色可選)約25.35公分,7.633333,0.6,條,A003,4.58,7,,,,多色,10吋,約25.35公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003010,12吋YKK拉鍊(一般頭，3號齒，多色可選)約30.5公分,9.026667,0.6,條,A003,5.416,8,,,,多色,12吋,約30.5公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003027,14吋YKK拉鍊(一般頭，3號齒，多色可選)約30.5公分,9.721667,0.6,條,A003,5.833,8,,,,多色,12吋,約35.6公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
